time/s	Ewe/V	
9.076301776229229E+002	2.4352197E-002
9.076319776228775E+002	8.7058559E-002
9.076321776228724E+002	1.0630348E-001
9.076393776226905E+002	1.1655436E-001
9.109917775380018E+002	1.2657842E-001
9.156635774199822E+002	1.6614003E-001
9.156637774199771E+002	1.2720850E-001
9.256637771673559E+002	1.2741853E-001
9.356637769147346E+002	1.2890781E-001
9.456637766621134E+002	1.2728488E-001
9.556637764094921E+002	1.2720850E-001
9.656637761568709E+002	1.2974793E-001
9.756637759042496E+002	1.2778130E-001
9.856637756516284E+002	1.2854505E-001
9.936865754489554E+002	1.4666472E-001
9.936867754489504E+002	1.2953791E-001
1.003686775196329E+003	1.2825865E-001
1.013686774943708E+003	1.2676935E-001
1.023686774691087E+003	1.2791497E-001
1.033686774438465E+003	1.2858324E-001
1.039650574287807E+003	1.3879822E-001
1.040714374260933E+003	1.2690301E-001
1.050714374008312E+003	1.2694120E-001
1.060714373755691E+003	1.2587197E-001
1.070714373503070E+003	1.2673117E-001
1.080714373250448E+003	1.2642567E-001
1.090714372997827E+003	1.2549010E-001
1.100714372745206E+003	1.2487910E-001
1.110714372492585E+003	1.2617746E-001
1.120714372239963E+003	1.2482182E-001
1.130714371987342E+003	1.2382896E-001
1.140714371734721E+003	1.2568103E-001
1.150714371482100E+003	1.2411536E-001
1.160714371229478E+003	1.2438267E-001
1.170714370976857E+003	1.2361894E-001
1.180714370724236E+003	1.2382896E-001
1.190714370471615E+003	1.2424902E-001
1.200714370218993E+003	1.2388624E-001
1.210714369966372E+003	1.2392443E-001
1.220714369713751E+003	1.2466908E-001
1.230714369461130E+003	1.2440176E-001
1.240714369208508E+003	1.2350437E-001
1.250714368955887E+003	1.2296975E-001
1.260714368703266E+003	1.2285519E-001
1.270714368450645E+003	1.2249243E-001
1.280714368198023E+003	1.2243514E-001
1.290714367945402E+003	1.2298885E-001
1.300714367692781E+003	1.2224421E-001
1.310714367440160E+003	1.2216783E-001
1.320714367187538E+003	1.2127044E-001
1.330714366934917E+003	1.2268335E-001
1.340714366682296E+003	1.2170959E-001
1.350714366429675E+003	1.2178596E-001
1.360714366177053E+003	1.2167140E-001
1.370714365924432E+003	1.2172868E-001
1.380714365671811E+003	1.2113678E-001
1.390714365419190E+003	1.2079310E-001
1.400714365166568E+003	1.2190053E-001
1.410714364913947E+003	1.2174778E-001
1.420714364661326E+003	1.2044942E-001
1.430714364408705E+003	1.2130862E-001
1.440714364156083E+003	1.1888376E-001
1.450714363903462E+003	1.2096494E-001
1.460714363650841E+003	1.2121316E-001
1.470714363398220E+003	1.1999118E-001
1.480714363145598E+003	1.2025849E-001
1.490714362892977E+003	1.2044942E-001
1.500714362640356E+003	1.2052580E-001
1.510714362387735E+003	1.1897923E-001
1.520714362135113E+003	1.1882648E-001
1.521864362106062E+003	1.5218273E-001
1.521864562106057E+003	1.1974297E-001
1.531864561853436E+003	1.1873101E-001
1.541864561600814E+003	1.1911288E-001
1.551864561348193E+003	1.1834914E-001
1.561864561095572E+003	1.1962841E-001
1.571864560842951E+003	1.1978115E-001
1.581864560590329E+003	1.1888376E-001
1.591864560337708E+003	1.1920835E-001
1.601864560085087E+003	1.1861645E-001
1.611864559832466E+003	1.1754722E-001
1.621864559579844E+003	1.1741357E-001
1.631864559327223E+003	1.1791000E-001
1.641864559074602E+003	1.1729901E-001
1.651864558821981E+003	1.1798637E-001
1.661864558569359E+003	1.1831096E-001
1.671864558316738E+003	1.1708898E-001
1.681864558064117E+003	1.1718445E-001
1.691864557811496E+003	1.1823458E-001
1.701864557558874E+003	1.1798637E-001
1.711864557306253E+003	1.1802456E-001
1.721864557053632E+003	1.1727991E-001
1.731864556801011E+003	1.1743266E-001
1.741864556548389E+003	1.1607703E-001
1.751864556295768E+003	1.1720354E-001
1.761864556043147E+003	1.1689804E-001
1.771864555790526E+003	1.1542785E-001
1.781864555537904E+003	1.1588609E-001
1.791864555285283E+003	1.1538966E-001
1.801864555032662E+003	1.1649708E-001
1.811864554780041E+003	1.1668801E-001
1.821864554527419E+003	1.1498870E-001
1.831864554274798E+003	1.1544694E-001
1.841864554022177E+003	1.1559969E-001
1.851864553769556E+003	1.1449227E-001
1.861864553516934E+003	1.1710807E-001
1.871864553264313E+003	1.1510326E-001
1.881864553011692E+003	1.1487414E-001
1.891864552759071E+003	1.1439680E-001
1.901864552506449E+003	1.1433952E-001
1.911864552253828E+003	1.1523692E-001
1.921864552001207E+003	1.1449227E-001
1.931864551748586E+003	1.1586700E-001
1.941864551495964E+003	1.1384309E-001
1.951864551243343E+003	1.1401493E-001
1.961864550990722E+003	1.1351851E-001
1.971864550738101E+003	1.1348031E-001
1.981864550485479E+003	1.1340395E-001
1.991864550232858E+003	1.1409131E-001
2.001864549980237E+003	1.1321301E-001
2.011864549727616E+003	1.1403403E-001
2.021864549474994E+003	1.1370944E-001
2.031864549222373E+003	1.1369035E-001
2.041864548969752E+003	1.1330847E-001
2.051864548717131E+003	1.1220106E-001
2.061864548464509E+003	1.1306026E-001
2.071864548211888E+003	1.1355669E-001
2.081864547959267E+003	1.1319391E-001
2.091864547706646E+003	1.1273567E-001
2.101864547454024E+003	1.1317483E-001
2.111864547201403E+003	1.1176191E-001
2.121864546948782E+003	1.1216287E-001
2.131864546696161E+003	1.1222015E-001
2.141864546443539E+003	1.1235380E-001
2.151864546190918E+003	1.1298389E-001
2.161864545938297E+003	1.1187647E-001
2.171864545685676E+003	1.1130366E-001
2.181864545433054E+003	1.1122729E-001
2.191864545180433E+003	1.1067358E-001
2.201864544927812E+003	1.1208650E-001
2.211864544675191E+003	1.1260202E-001
2.221864544422569E+003	1.1124638E-001
2.231864544169948E+003	1.1157098E-001
2.241864543917327E+003	1.1057811E-001
2.251864543664706E+003	1.1132276E-001
2.261864543412084E+003	1.1065449E-001
2.271864543159463E+003	1.1038718E-001
2.281864542906842E+003	1.1040627E-001
2.291864542654221E+003	1.1120820E-001
2.301864542401599E+003	1.1153278E-001
2.311864542148978E+003	1.1038718E-001
2.321864541896357E+003	1.1103636E-001
2.331864541643736E+003	1.1013897E-001
2.341864541391114E+003	1.0960435E-001
2.351864541138493E+003	1.1000531E-001
2.361864540885872E+003	1.1069267E-001
2.371864540633251E+003	1.0916520E-001
2.381864540380629E+003	1.0943251E-001
2.391864540128008E+003	1.0880242E-001
2.401864539875387E+003	1.0948979E-001
2.411864539622766E+003	1.0880242E-001
2.421864539370144E+003	1.0941342E-001
2.430090539162338E+003	1.1981934E-001
2.430090939162328E+003	1.0943251E-001
2.431159339135338E+003	1.4326608E-001
2.431159539135333E+003	1.0906973E-001
2.441159538882712E+003	1.1084542E-001
2.451159538630091E+003	1.0861149E-001
2.461159538377469E+003	1.0882152E-001
2.471159538124848E+003	1.0979529E-001
2.481159537872227E+003	1.0939432E-001
2.491159537619606E+003	1.0876424E-001
2.501159537366984E+003	1.0916520E-001
2.511159537114363E+003	1.0822962E-001
2.521159536861742E+003	1.0729405E-001
2.531159536609121E+003	1.0895517E-001
2.541159536356499E+003	1.0903154E-001
2.545566536245169E+003	1.1909379E-001
2.545626536243653E+003	1.2961428E-001
2.545706136241643E+003	1.4078394E-001
2.545718136241339E+003	1.5124714E-001
2.545725136241163E+003	1.6285595E-001
2.545730936241016E+003	1.7354828E-001
2.545735936240890E+003	1.8391602E-001
2.545739536240799E+003	1.9476110E-001
2.545742336240728E+003	2.0520522E-001
2.545744336240678E+003	2.2231293E-001
2.545745136240657E+003	2.3268068E-001
2.545746736240617E+003	2.4595061E-001
2.545747936240587E+003	2.5650930E-001
2.545749536240546E+003	2.6744983E-001
2.545751536240496E+003	2.8066251E-001
2.545752336240475E+003	2.9087749E-001
2.545754736240415E+003	3.0237174E-001
2.545756336240374E+003	3.1659636E-001
2.545757136240354E+003	3.2763237E-001
2.545758336240324E+003	3.4195244E-001
2.545758936240309E+003	3.5298845E-001
2.545760536240268E+003	3.6509368E-001
2.545760936240258E+003	3.7525141E-001
2.545762936240208E+003	3.9010611E-001
2.545765136240152E+003	4.0034017E-001
2.545766536240117E+003	4.1404927E-001
2.545768936240056E+003	4.2731920E-001
2.545769136240051E+003	4.1584405E-001
2.545771736239985E+003	4.2684188E-001
2.545772136239975E+003	4.3803063E-001
2.545774136239925E+003	4.4872296E-001
2.545774936239904E+003	4.5886159E-001
2.545776736239859E+003	4.7444183E-001
2.545777336239844E+003	4.8797908E-001
2.545778536239814E+003	5.0380754E-001
2.545779936239778E+003	4.9174049E-001
2.545785536239637E+003	4.7785956E-001
2.545786336239617E+003	4.9796495E-001
2.545786936239601E+003	4.8738718E-001
2.545787736239581E+003	4.9954969E-001
2.545790536239510E+003	5.1423258E-001
2.545800936239248E+003	5.2612776E-001
2.545802736239202E+003	5.1501542E-001
2.545806736239101E+003	5.2542132E-001
2.545811936238970E+003	5.3882492E-001
2.545816536238854E+003	5.4986095E-001
2.545820736238747E+003	5.3981775E-001
2.545827536238576E+003	5.5358416E-001
2.545831736238470E+003	5.4348373E-001
2.545837136238333E+003	5.5385149E-001
2.545838336238303E+003	5.4306364E-001
2.545846736238091E+003	5.5312592E-001
2.545855136237878E+003	5.6326455E-001
2.545864736237636E+003	5.7355589E-001
2.545866336237596E+003	5.6236714E-001
2.545867336237570E+003	5.7302129E-001
2.545871736237459E+003	5.6272990E-001
2.545875136237373E+003	5.7454872E-001
2.545885536237111E+003	5.8470649E-001
2.545896536236833E+003	5.9633434E-001
2.545898136236792E+003	5.8432460E-001
2.545898536236782E+003	5.9604794E-001
2.545903736236651E+003	6.0744673E-001
2.545904136236641E+003	5.9686899E-001
2.545907336236560E+003	6.0914606E-001
2.545909336236509E+003	5.9730816E-001
2.545914336236383E+003	6.0809594E-001
2.545918136236287E+003	5.9518874E-001
2.545918736236272E+003	6.0857326E-001
2.545920736236221E+003	6.2022024E-001
2.545923136236161E+003	6.0926062E-001
2.545924536236125E+003	6.1974293E-001
2.545928736236019E+003	6.3177180E-001
2.545931736235943E+003	6.1985749E-001
2.545933536235898E+003	6.3089347E-001
2.545942336235676E+003	6.2046850E-001
2.545943936235635E+003	6.3190544E-001
2.545945336235600E+003	6.2136585E-001
2.545945936235585E+003	6.3154268E-001
2.545961736235186E+003	6.4248323E-001
2.545964736235110E+003	6.3236368E-001
2.545966336235069E+003	6.4290327E-001
2.545967936235029E+003	6.3188636E-001
2.545972336234918E+003	6.4196771E-001
2.545975736234832E+003	6.3085532E-001
2.545977336234791E+003	6.4387703E-001
2.545988536234509E+003	6.3022524E-001
2.545988936234498E+003	6.4059293E-001
2.545998936234246E+003	6.5317553E-001
2.546004736234099E+003	6.4311332E-001
2.546007536234029E+003	6.5405381E-001
2.546008536234003E+003	6.4206314E-001
2.546015536233826E+003	6.5233541E-001
2.546023136233634E+003	6.6337144E-001
2.546023536233624E+003	6.1111271E-001
2.546023736233619E+003	3.1955582E-001
2.546023936233614E+003	2.7970782E-001
2.546024136233609E+003	2.5660476E-001
2.546025336233579E+003	2.6842359E-001
2.546025736233569E+003	2.8205630E-001
2.546026736233543E+003	2.9439068E-001
2.546027136233533E+003	3.0848163E-001
2.546027936233513E+003	2.9817119E-001
2.546028536233498E+003	3.1361777E-001
2.546029936233463E+003	3.3017179E-001
2.546032136233407E+003	3.4221974E-001
2.546043336233124E+003	3.5346580E-001
2.546052936232882E+003	3.6461636E-001
2.546065136232573E+003	3.7559509E-001
2.546085336232063E+003	3.8630649E-001
2.546128536230972E+003	3.9709431E-001
2.546156336230270E+003	4.0813032E-001
2.546160736230158E+003	3.9686519E-001
2.546165136230047E+003	4.0847400E-001
2.546210936228890E+003	4.1882265E-001
2.546247136227976E+003	4.2886579E-001
2.546313736226293E+003	4.3993998E-001
2.546416136223706E+003	4.5002133E-001
2.546429536223368E+003	3.8552368E-001
