time	intensity	norm_intensity	experiment	compound	nucleus	type	insituCu	cellsetup	Cutreatment	peak
0	9493118.940510273	0.3506692959015602	1	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
297.22699999809265	9233134.039388442	0.34106563215387636	2	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
587.5629999637604	9051597.06131743	0.334359780823119	3	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
877.960000038147	9021715.589824863	0.33325597978212645	4	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
1168.3469998836517	9046713.937212553	0.3341794015713275	5	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
1458.4830000400543	8997319.30076168	0.3323547976140731	6	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
1749.0999999046326	8992159.717558583	0.33216420615300396	7	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
2039.0759999752045	8999981.897888605	0.3324531521238627	8	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
2329.292999982834	7627714.122665764	0.28176252267516777	9	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
2619.5299999713898	7688944.26838247	0.2840243222187088	10	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
2909.7860000133514	7725544.928391491	0.2853763254702562	11	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
3200.2249999046326	7790449.1558727445	0.28777384307163817	12	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
3490.3389999866486	7851319.086524322	0.2900223365179889	13	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
3780.2960000038147	7895178.888200623	0.29164248747876304	14	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
4070.5230000019073	7916898.325743353	0.29244478858951656	15	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
4361.128999948502	7967834.1319435425	0.2943263222991784	16	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
4651.345999956131	7788920.814857861	0.28771738720387274	17	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
4941.693000078201	7979321.2805106435	0.2947506496804305	18	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
5231.90700006485	7909448.50661717	0.2921695973858728	19	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
5525.1159999370575	7936772.902633215	0.2931789418143928	20	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	1M LiTFSI TEGDME	Peak 1
