time	intensity	norm_intensity	experiment	compound	nucleus	type	insituLi	cellsetup	peak	electrolyte
0	8719904.380153656	0.3221072809136267	1	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
297.22699999809265	8771340.513381958	0.32400729636019376	2	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
587.5629999637604	8688902.320724487	0.32096208612362653	3	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
877.960000038147	8711321.401058197	0.32179023155871994	4	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
1168.3469998836517	8744042.138278961	0.3229989131263364	5	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
1458.4830000400543	8728981.69414711	0.3224425906602663	6	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
1749.0999999046326	8720465.83394432	0.3221280206311724	7	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
2039.0759999752045	8740472.88753891	0.3228670674545658	8	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
2329.292999982834	8726956.698036194	0.32236778869424565	9	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
2619.5299999713898	8777261.221002579	0.3242260032346755	10	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
2909.7860000133514	8762132.284856796	0.3236671507206359	11	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
3200.2249999046326	8788323.980220795	0.32463465396475594	12	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
3490.3389999866486	8792296.342782974	0.32478139031046854	13	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
3780.2960000038147	8841157.172128677	0.3265862757997578	14	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
4070.5230000019073	8873175.175060272	0.32776899884521377	15	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
4361.128999948502	8877678.485565186	0.3279353480433941	16	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
4651.345999956131	8973774.688051224	0.3314850757857478	17	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
4941.693000078201	8933307.358301163	0.3299902404087345	18	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
5231.90700006485	8992671.936365128	0.33218312716403986	19	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
5525.1159999370575	9053329.447250366	0.3344237739700646	20	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
5813.082000017166	9053909.918813705	0.33444521619107576	21	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
6103.289000034332	9067886.271684647	0.33496149307028034	22	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
6393.895999908447	9090733.543439865	0.33580545560249775	23	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
6683.891999959946	9209813.01934433	0.3402041696851321	24	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
6974.519000053406	9162021.126924515	0.3384387699919772	25	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
7264.865000009537	9163631.66999054	0.3384982623470737	26	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
7555.092000007629	9227282.411748886	0.34084947704646645	27	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
7845.108999967575	9249880.853107452	0.34168424795467284	28	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
8135.486000061035	9240019.559415817	0.3413199785362452	29	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
8425.611999988556	9325330.576375961	0.344471308930137	30	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
8715.858999967575	9386412.756786346	0.3467276427368522	31	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
9006.197999954224	9320265.271539688	0.34428420004720883	32	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
9296.512000083923	9293692.024303436	0.3433026025388926	33	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
9586.979000091553	9404502.995994568	0.3473958837528546	34	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
9877.335999965668	9452734.325164795	0.34917751593786234	35	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
10170.693000078201	9560759.934293747	0.3531679077711443	36	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
10458.098999977112	9511693.981342316	0.3513554451566927	37	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
10748.575999975204	9566011.10052681	0.3533618822464616	38	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
11095.06200003624	9540697.73449707	0.352426823884908	39	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
11492.21799993515	9639207.33309555	0.3560657008226721	40	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
11934.302999973297	9561847.398406982	0.35320807794885895	41	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
12412.667000055313	9666004.332841873	0.3570555635950869	42	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
12892.731999874115	9671449.428459167	0.3572567016887102	43	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
13183.269000053406	9795442.024568558	0.3618369030584772	44	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
13473.494999885559	9834183.929655075	0.3632680024330568	45	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
13763.582999944687	9793066.857692719	0.3617491660248196	46	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
14053.928999900818	9839909.143257141	0.3634794878927149	47	Li metal	7Li	metal	LiLiTEGDMEinsitu_02	Li-Li	Total intensity	1M LiTFSI TEGDME
